site,date,species,num_call_segments
1,2023-03-23,BUECHO,0
1,2023-03-23,FEJSAK,0
1,2023-03-23,KUREIF,74
1,2023-03-23,MICKUR,104
1,2023-03-23,NIDOKI,1
1,2023-03-23,POLLEU,0
1,2023-03-23,RHIMAR,0
1,2023-03-23,ZHAOWS,108
1,2023-03-24,BUECHO,0
1,2023-03-24,FEJSAK,0
1,2023-03-24,KUREIF,103
1,2023-03-24,MICKUR,59
1,2023-03-24,NIDOKI,0
1,2023-03-24,POLLEU,0
1,2023-03-24,RHIMAR,0
1,2023-03-24,ZHAOWS,197
1,2023-03-25,BUECHO,0
1,2023-03-25,FEJSAK,0
1,2023-03-25,KUREIF,0
1,2023-03-25,MICKUR,60
1,2023-03-25,NIDOKI,0
1,2023-03-25,POLLEU,0
1,2023-03-25,RHIMAR,0
1,2023-03-25,ZHAOWS,57
1,2023-03-26,BUECHO,0
1,2023-03-26,FEJSAK,0
1,2023-03-26,KUREIF,0
1,2023-03-26,MICKUR,300
1,2023-03-26,NIDOKI,0
1,2023-03-26,POLLEU,0
1,2023-03-26,RHIMAR,0
1,2023-03-26,ZHAOWS,2
1,2023-03-27,BUECHO,0
1,2023-03-27,FEJSAK,26
1,2023-03-27,KUREIF,0
1,2023-03-27,MICKUR,300
1,2023-03-27,NIDOKI,0
1,2023-03-27,POLLEU,0
1,2023-03-27,RHIMAR,0
1,2023-03-27,ZHAOWS,88
1,2023-03-28,BUECHO,17
1,2023-03-28,FEJSAK,14
1,2023-03-28,KUREIF,4
1,2023-03-28,MICKUR,300
1,2023-03-28,NIDOKI,0
1,2023-03-28,POLLEU,0
1,2023-03-28,RHIMAR,0
1,2023-03-28,ZHAOWS,195
1,2023-03-29,BUECHO,0
1,2023-03-29,FEJSAK,2
1,2023-03-29,KUREIF,0
1,2023-03-29,MICKUR,178
1,2023-03-29,NIDOKI,0
1,2023-03-29,POLLEU,0
1,2023-03-29,RHIMAR,0
1,2023-03-29,ZHAOWS,194
1,2023-03-30,BUECHO,0
1,2023-03-30,FEJSAK,2
1,2023-03-30,KUREIF,0
1,2023-03-30,MICKUR,300
1,2023-03-30,NIDOKI,0
1,2023-03-30,POLLEU,0
1,2023-03-30,RHIMAR,0
1,2023-03-30,ZHAOWS,28
1,2023-03-31,BUECHO,3
1,2023-03-31,FEJSAK,0
1,2023-03-31,KUREIF,0
1,2023-03-31,MICKUR,300
1,2023-03-31,NIDOKI,0
1,2023-03-31,POLLEU,0
1,2023-03-31,RHIMAR,0
1,2023-03-31,ZHAOWS,101
1,2023-04-01,BUECHO,15
1,2023-04-01,FEJSAK,2
1,2023-04-01,KUREIF,260
1,2023-04-01,MICKUR,127
1,2023-04-01,NIDOKI,0
1,2023-04-01,POLLEU,0
1,2023-04-01,RHIMAR,0
1,2023-04-01,ZHAOWS,171
1,2023-04-02,BUECHO,0
1,2023-04-02,FEJSAK,0
1,2023-04-02,KUREIF,298
1,2023-04-02,MICKUR,65
1,2023-04-02,NIDOKI,0
1,2023-04-02,POLLEU,0
1,2023-04-02,RHIMAR,0
1,2023-04-02,ZHAOWS,51
1,2023-04-03,BUECHO,0
1,2023-04-03,FEJSAK,0
1,2023-04-03,KUREIF,172
1,2023-04-03,MICKUR,26
1,2023-04-03,NIDOKI,0
1,2023-04-03,POLLEU,0
1,2023-04-03,RHIMAR,0
1,2023-04-03,ZHAOWS,8
1,2023-04-04,BUECHO,0
1,2023-04-04,FEJSAK,0
1,2023-04-04,KUREIF,165
1,2023-04-04,MICKUR,17
1,2023-04-04,NIDOKI,0
1,2023-04-04,POLLEU,0
1,2023-04-04,RHIMAR,0
1,2023-04-04,ZHAOWS,0
1,2023-04-05,BUECHO,0
1,2023-04-05,FEJSAK,0
1,2023-04-05,KUREIF,170
1,2023-04-05,MICKUR,54
1,2023-04-05,NIDOKI,0
1,2023-04-05,POLLEU,0
1,2023-04-05,RHIMAR,0
1,2023-04-05,ZHAOWS,2
1,2023-04-06,BUECHO,11
1,2023-04-06,FEJSAK,0
1,2023-04-06,KUREIF,219
1,2023-04-06,MICKUR,8
1,2023-04-06,NIDOKI,0
1,2023-04-06,POLLEU,0
1,2023-04-06,RHIMAR,0
1,2023-04-06,ZHAOWS,1
1,2023-04-07,BUECHO,0
1,2023-04-07,FEJSAK,0
1,2023-04-07,KUREIF,105
1,2023-04-07,MICKUR,37
1,2023-04-07,NIDOKI,0
1,2023-04-07,POLLEU,0
1,2023-04-07,RHIMAR,0
1,2023-04-07,ZHAOWS,58
1,2023-04-08,BUECHO,0
1,2023-04-08,FEJSAK,1
1,2023-04-08,KUREIF,2
1,2023-04-08,MICKUR,7
1,2023-04-08,NIDOKI,0
1,2023-04-08,POLLEU,0
1,2023-04-08,RHIMAR,0
1,2023-04-08,ZHAOWS,27
1,2023-04-09,BUECHO,0
1,2023-04-09,FEJSAK,0
1,2023-04-09,KUREIF,6
1,2023-04-09,MICKUR,36
1,2023-04-09,NIDOKI,0
1,2023-04-09,POLLEU,0
1,2023-04-09,RHIMAR,0
1,2023-04-09,ZHAOWS,43
1,2023-04-10,BUECHO,0
1,2023-04-10,FEJSAK,0
1,2023-04-10,KUREIF,31
1,2023-04-10,MICKUR,23
1,2023-04-10,NIDOKI,0
1,2023-04-10,POLLEU,0
1,2023-04-10,RHIMAR,0
1,2023-04-10,ZHAOWS,1
1,2023-04-11,BUECHO,0
1,2023-04-11,FEJSAK,0
1,2023-04-11,KUREIF,61
1,2023-04-11,MICKUR,29
1,2023-04-11,NIDOKI,0
1,2023-04-11,POLLEU,0
1,2023-04-11,RHIMAR,0
1,2023-04-11,ZHAOWS,5
1,2023-04-12,BUECHO,0
1,2023-04-12,FEJSAK,0
1,2023-04-12,KUREIF,36
1,2023-04-12,MICKUR,25
1,2023-04-12,NIDOKI,0
1,2023-04-12,POLLEU,0
1,2023-04-12,RHIMAR,0
1,2023-04-12,ZHAOWS,22
1,2023-04-13,BUECHO,0
1,2023-04-13,FEJSAK,0
1,2023-04-13,KUREIF,47
1,2023-04-13,MICKUR,22
1,2023-04-13,NIDOKI,0
1,2023-04-13,POLLEU,8
1,2023-04-13,RHIMAR,0
1,2023-04-13,ZHAOWS,56
1,2023-04-14,BUECHO,1
1,2023-04-14,FEJSAK,0
1,2023-04-14,KUREIF,4
1,2023-04-14,MICKUR,68
1,2023-04-14,NIDOKI,2
1,2023-04-14,POLLEU,186
1,2023-04-14,RHIMAR,0
1,2023-04-14,ZHAOWS,187
1,2023-04-15,BUECHO,31
1,2023-04-15,FEJSAK,14
1,2023-04-15,KUREIF,15
1,2023-04-15,MICKUR,284
1,2023-04-15,NIDOKI,0
1,2023-04-15,POLLEU,54
1,2023-04-15,RHIMAR,0
1,2023-04-15,ZHAOWS,180
1,2023-04-16,BUECHO,16
1,2023-04-16,FEJSAK,16
1,2023-04-16,KUREIF,1
1,2023-04-16,MICKUR,300
1,2023-04-16,NIDOKI,0
1,2023-04-16,POLLEU,2
1,2023-04-16,RHIMAR,0
1,2023-04-16,ZHAOWS,55
1,2023-04-17,BUECHO,2
1,2023-04-17,FEJSAK,0
1,2023-04-17,KUREIF,231
1,2023-04-17,MICKUR,205
1,2023-04-17,NIDOKI,0
1,2023-04-17,POLLEU,27
1,2023-04-17,RHIMAR,0
1,2023-04-17,ZHAOWS,21
1,2023-04-18,BUECHO,0
1,2023-04-18,FEJSAK,0
1,2023-04-18,KUREIF,291
1,2023-04-18,MICKUR,27
1,2023-04-18,NIDOKI,0
1,2023-04-18,POLLEU,23
1,2023-04-18,RHIMAR,0
1,2023-04-18,ZHAOWS,12
1,2023-04-19,BUECHO,0
1,2023-04-19,FEJSAK,0
1,2023-04-19,KUREIF,115
1,2023-04-19,MICKUR,11
1,2023-04-19,NIDOKI,0
1,2023-04-19,POLLEU,161
1,2023-04-19,RHIMAR,0
1,2023-04-19,ZHAOWS,18
1,2023-04-20,BUECHO,0
1,2023-04-20,FEJSAK,0
1,2023-04-20,KUREIF,56
1,2023-04-20,MICKUR,26
1,2023-04-20,NIDOKI,0
1,2023-04-20,POLLEU,181
1,2023-04-20,RHIMAR,0
1,2023-04-20,ZHAOWS,86
1,2023-04-21,BUECHO,24
1,2023-04-21,FEJSAK,0
1,2023-04-21,KUREIF,59
1,2023-04-21,MICKUR,30
1,2023-04-21,NIDOKI,0
1,2023-04-21,POLLEU,25
1,2023-04-21,RHIMAR,0
1,2023-04-21,ZHAOWS,91
1,2023-04-22,BUECHO,0
1,2023-04-22,FEJSAK,0
1,2023-04-22,KUREIF,40
1,2023-04-22,MICKUR,25
1,2023-04-22,NIDOKI,0
1,2023-04-22,POLLEU,1
1,2023-04-22,RHIMAR,0
1,2023-04-22,ZHAOWS,20
1,2023-04-23,BUECHO,0
1,2023-04-23,FEJSAK,8
1,2023-04-23,KUREIF,65
1,2023-04-23,MICKUR,18
1,2023-04-23,NIDOKI,0
1,2023-04-23,POLLEU,31
1,2023-04-23,RHIMAR,0
1,2023-04-23,ZHAOWS,11
1,2023-04-24,BUECHO,0
1,2023-04-24,FEJSAK,0
1,2023-04-24,KUREIF,126
1,2023-04-24,MICKUR,12
1,2023-04-24,NIDOKI,0
1,2023-04-24,POLLEU,70
1,2023-04-24,RHIMAR,0
1,2023-04-24,ZHAOWS,12
1,2023-04-25,BUECHO,0
1,2023-04-25,FEJSAK,0
1,2023-04-25,KUREIF,52
1,2023-04-25,MICKUR,22
1,2023-04-25,NIDOKI,0
1,2023-04-25,POLLEU,107
1,2023-04-25,RHIMAR,0
1,2023-04-25,ZHAOWS,119
1,2023-04-26,BUECHO,0
1,2023-04-26,FEJSAK,0
1,2023-04-26,KUREIF,7
1,2023-04-26,MICKUR,9
1,2023-04-26,NIDOKI,0
1,2023-04-26,POLLEU,0
1,2023-04-26,RHIMAR,0
1,2023-04-26,ZHAOWS,6
1,2023-04-27,BUECHO,0
1,2023-04-27,FEJSAK,0
1,2023-04-27,KUREIF,9
1,2023-04-27,MICKUR,52
1,2023-04-27,NIDOKI,1
1,2023-04-27,POLLEU,5
1,2023-04-27,RHIMAR,0
1,2023-04-27,ZHAOWS,47
1,2023-04-28,BUECHO,0
1,2023-04-28,FEJSAK,2
1,2023-04-28,KUREIF,39
1,2023-04-28,MICKUR,18
1,2023-04-28,NIDOKI,0
1,2023-04-28,POLLEU,182
1,2023-04-28,RHIMAR,0
1,2023-04-28,ZHAOWS,77
1,2023-04-29,BUECHO,0
1,2023-04-29,FEJSAK,2
1,2023-04-29,KUREIF,51
1,2023-04-29,MICKUR,7
1,2023-04-29,NIDOKI,2
1,2023-04-29,POLLEU,208
1,2023-04-29,RHIMAR,0
1,2023-04-29,ZHAOWS,38
1,2023-04-30,BUECHO,0
1,2023-04-30,FEJSAK,0
1,2023-04-30,KUREIF,53
1,2023-04-30,MICKUR,35
1,2023-04-30,NIDOKI,0
1,2023-04-30,POLLEU,167
1,2023-04-30,RHIMAR,0
1,2023-04-30,ZHAOWS,112
1,2023-05-01,BUECHO,0
1,2023-05-01,FEJSAK,0
1,2023-05-01,KUREIF,51
1,2023-05-01,MICKUR,36
1,2023-05-01,NIDOKI,0
1,2023-05-01,POLLEU,95
1,2023-05-01,RHIMAR,0
1,2023-05-01,ZHAOWS,80
1,2023-05-02,BUECHO,0
1,2023-05-02,FEJSAK,0
1,2023-05-02,KUREIF,15
1,2023-05-02,MICKUR,25
1,2023-05-02,NIDOKI,0
1,2023-05-02,POLLEU,67
1,2023-05-02,RHIMAR,0
1,2023-05-02,ZHAOWS,20
1,2023-05-03,BUECHO,0
1,2023-05-03,FEJSAK,1
1,2023-05-03,KUREIF,80
1,2023-05-03,MICKUR,8
1,2023-05-03,NIDOKI,0
1,2023-05-03,POLLEU,263
1,2023-05-03,RHIMAR,0
1,2023-05-03,ZHAOWS,46
1,2023-05-04,BUECHO,0
1,2023-05-04,FEJSAK,1
1,2023-05-04,KUREIF,86
1,2023-05-04,MICKUR,10
1,2023-05-04,NIDOKI,0
1,2023-05-04,POLLEU,261
1,2023-05-04,RHIMAR,0
1,2023-05-04,ZHAOWS,47
1,2023-05-05,BUECHO,0
1,2023-05-05,FEJSAK,0
1,2023-05-05,KUREIF,30
1,2023-05-05,MICKUR,5
1,2023-05-05,NIDOKI,0
1,2023-05-05,POLLEU,274
1,2023-05-05,RHIMAR,0
1,2023-05-05,ZHAOWS,44
1,2023-05-06,BUECHO,0
1,2023-05-06,FEJSAK,0
1,2023-05-06,KUREIF,58
1,2023-05-06,MICKUR,4
1,2023-05-06,NIDOKI,1
1,2023-05-06,POLLEU,282
1,2023-05-06,RHIMAR,0
1,2023-05-06,ZHAOWS,33
1,2023-05-07,BUECHO,0
1,2023-05-07,FEJSAK,24
1,2023-05-07,KUREIF,42
1,2023-05-07,MICKUR,85
1,2023-05-07,NIDOKI,0
1,2023-05-07,POLLEU,263
1,2023-05-07,RHIMAR,0
1,2023-05-07,ZHAOWS,79
1,2023-05-08,BUECHO,15
1,2023-05-08,FEJSAK,23
1,2023-05-08,KUREIF,1
1,2023-05-08,MICKUR,296
1,2023-05-08,NIDOKI,0
1,2023-05-08,POLLEU,19
1,2023-05-08,RHIMAR,0
1,2023-05-08,ZHAOWS,84
1,2023-05-09,BUECHO,2
1,2023-05-09,FEJSAK,0
1,2023-05-09,KUREIF,4
1,2023-05-09,MICKUR,300
1,2023-05-09,NIDOKI,0
1,2023-05-09,POLLEU,0
1,2023-05-09,RHIMAR,0
1,2023-05-09,ZHAOWS,3
1,2023-05-10,BUECHO,0
1,2023-05-10,FEJSAK,0
1,2023-05-10,KUREIF,192
1,2023-05-10,MICKUR,143
1,2023-05-10,NIDOKI,0
1,2023-05-10,POLLEU,12
1,2023-05-10,RHIMAR,0
1,2023-05-10,ZHAOWS,11
1,2023-05-11,BUECHO,0
1,2023-05-11,FEJSAK,0
1,2023-05-11,KUREIF,140
1,2023-05-11,MICKUR,4
1,2023-05-11,NIDOKI,0
1,2023-05-11,POLLEU,183
1,2023-05-11,RHIMAR,0
1,2023-05-11,ZHAOWS,0
1,2023-05-12,BUECHO,0
1,2023-05-12,FEJSAK,0
1,2023-05-12,KUREIF,127
1,2023-05-12,MICKUR,14
1,2023-05-12,NIDOKI,0
1,2023-05-12,POLLEU,246
1,2023-05-12,RHIMAR,0
1,2023-05-12,ZHAOWS,12
1,2023-05-13,BUECHO,0
1,2023-05-13,FEJSAK,0
1,2023-05-13,KUREIF,110
1,2023-05-13,MICKUR,13
1,2023-05-13,NIDOKI,0
1,2023-05-13,POLLEU,289
1,2023-05-13,RHIMAR,0
1,2023-05-13,ZHAOWS,96
1,2023-05-14,BUECHO,0
1,2023-05-14,FEJSAK,0
1,2023-05-14,KUREIF,34
1,2023-05-14,MICKUR,37
1,2023-05-14,NIDOKI,0
1,2023-05-14,POLLEU,203
1,2023-05-14,RHIMAR,0
1,2023-05-14,ZHAOWS,49
1,2023-05-15,BUECHO,0
1,2023-05-15,FEJSAK,0
1,2023-05-15,KUREIF,48
1,2023-05-15,MICKUR,28
1,2023-05-15,NIDOKI,0
1,2023-05-15,POLLEU,124
1,2023-05-15,RHIMAR,0
1,2023-05-15,ZHAOWS,55
1,2023-05-16,BUECHO,0
1,2023-05-16,FEJSAK,0
1,2023-05-16,KUREIF,56
1,2023-05-16,MICKUR,3
1,2023-05-16,NIDOKI,0
1,2023-05-16,POLLEU,288
1,2023-05-16,RHIMAR,0
1,2023-05-16,ZHAOWS,5
1,2023-05-17,BUECHO,0
1,2023-05-17,FEJSAK,16
1,2023-05-17,KUREIF,37
1,2023-05-17,MICKUR,33
1,2023-05-17,NIDOKI,0
1,2023-05-17,POLLEU,296
1,2023-05-17,RHIMAR,0
1,2023-05-17,ZHAOWS,138
1,2023-05-18,BUECHO,0
1,2023-05-18,FEJSAK,0
1,2023-05-18,KUREIF,238
1,2023-05-18,MICKUR,6
1,2023-05-18,NIDOKI,0
1,2023-05-18,POLLEU,299
1,2023-05-18,RHIMAR,0
1,2023-05-18,ZHAOWS,84
1,2023-05-19,BUECHO,0
1,2023-05-19,FEJSAK,0
1,2023-05-19,KUREIF,138
1,2023-05-19,MICKUR,8
1,2023-05-19,NIDOKI,0
1,2023-05-19,POLLEU,288
1,2023-05-19,RHIMAR,0
1,2023-05-19,ZHAOWS,89
1,2023-05-20,BUECHO,0
1,2023-05-20,FEJSAK,0
1,2023-05-20,KUREIF,131
1,2023-05-20,MICKUR,15
1,2023-05-20,NIDOKI,0
1,2023-05-20,POLLEU,156
1,2023-05-20,RHIMAR,0
1,2023-05-20,ZHAOWS,23
1,2023-05-21,BUECHO,0
1,2023-05-21,FEJSAK,0
1,2023-05-21,KUREIF,12
1,2023-05-21,MICKUR,5
1,2023-05-21,NIDOKI,0
1,2023-05-21,POLLEU,295
1,2023-05-21,RHIMAR,0
1,2023-05-21,ZHAOWS,10
1,2023-05-22,BUECHO,0
1,2023-05-22,FEJSAK,0
1,2023-05-22,KUREIF,10
1,2023-05-22,MICKUR,2
1,2023-05-22,NIDOKI,0
1,2023-05-22,POLLEU,300
1,2023-05-22,RHIMAR,0
1,2023-05-22,ZHAOWS,61
1,2023-05-23,BUECHO,0
1,2023-05-23,FEJSAK,0
1,2023-05-23,KUREIF,7
1,2023-05-23,MICKUR,26
1,2023-05-23,NIDOKI,0
1,2023-05-23,POLLEU,17
1,2023-05-23,RHIMAR,0
1,2023-05-23,ZHAOWS,86
1,2023-05-24,BUECHO,0
1,2023-05-24,FEJSAK,0
1,2023-05-24,KUREIF,18
1,2023-05-24,MICKUR,18
1,2023-05-24,NIDOKI,0
1,2023-05-24,POLLEU,138
1,2023-05-24,RHIMAR,0
1,2023-05-24,ZHAOWS,44
