site,date,species,num_call_segments
1,2023-03-23,BUECHO,0
1,2023-03-23,FEJSAK,0
1,2023-03-23,KUREIF,13
1,2023-03-23,MICKUR,44
1,2023-03-23,NIDOKI,0
1,2023-03-23,POLLEU,0
1,2023-03-23,RHIMAR,0
1,2023-03-23,ZHAOWS,91
1,2023-03-24,BUECHO,0
1,2023-03-24,FEJSAK,0
1,2023-03-24,KUREIF,18
1,2023-03-24,MICKUR,22
1,2023-03-24,NIDOKI,0
1,2023-03-24,POLLEU,0
1,2023-03-24,RHIMAR,0
1,2023-03-24,ZHAOWS,192
1,2023-03-25,BUECHO,0
1,2023-03-25,FEJSAK,0
1,2023-03-25,KUREIF,0
1,2023-03-25,MICKUR,17
1,2023-03-25,NIDOKI,0
1,2023-03-25,POLLEU,0
1,2023-03-25,RHIMAR,0
1,2023-03-25,ZHAOWS,47
1,2023-03-26,BUECHO,0
1,2023-03-26,FEJSAK,0
1,2023-03-26,KUREIF,0
1,2023-03-26,MICKUR,277
1,2023-03-26,NIDOKI,0
1,2023-03-26,POLLEU,0
1,2023-03-26,RHIMAR,0
1,2023-03-26,ZHAOWS,0
1,2023-03-27,BUECHO,0
1,2023-03-27,FEJSAK,0
1,2023-03-27,KUREIF,0
1,2023-03-27,MICKUR,294
1,2023-03-27,NIDOKI,0
1,2023-03-27,POLLEU,0
1,2023-03-27,RHIMAR,0
1,2023-03-27,ZHAOWS,35
1,2023-03-28,BUECHO,3
1,2023-03-28,FEJSAK,3
1,2023-03-28,KUREIF,0
1,2023-03-28,MICKUR,300
1,2023-03-28,NIDOKI,0
1,2023-03-28,POLLEU,0
1,2023-03-28,RHIMAR,0
1,2023-03-28,ZHAOWS,170
1,2023-03-29,BUECHO,0
1,2023-03-29,FEJSAK,0
1,2023-03-29,KUREIF,0
1,2023-03-29,MICKUR,17
1,2023-03-29,NIDOKI,0
1,2023-03-29,POLLEU,0
1,2023-03-29,RHIMAR,0
1,2023-03-29,ZHAOWS,184
1,2023-03-30,BUECHO,0
1,2023-03-30,FEJSAK,0
1,2023-03-30,KUREIF,0
1,2023-03-30,MICKUR,293
1,2023-03-30,NIDOKI,0
1,2023-03-30,POLLEU,0
1,2023-03-30,RHIMAR,0
1,2023-03-30,ZHAOWS,4
1,2023-03-31,BUECHO,0
1,2023-03-31,FEJSAK,0
1,2023-03-31,KUREIF,0
1,2023-03-31,MICKUR,300
1,2023-03-31,NIDOKI,0
1,2023-03-31,POLLEU,0
1,2023-03-31,RHIMAR,0
1,2023-03-31,ZHAOWS,60
1,2023-04-01,BUECHO,5
1,2023-04-01,FEJSAK,0
1,2023-04-01,KUREIF,222
1,2023-04-01,MICKUR,77
1,2023-04-01,NIDOKI,0
1,2023-04-01,POLLEU,0
1,2023-04-01,RHIMAR,0
1,2023-04-01,ZHAOWS,146
1,2023-04-02,BUECHO,0
1,2023-04-02,FEJSAK,0
1,2023-04-02,KUREIF,291
1,2023-04-02,MICKUR,40
1,2023-04-02,NIDOKI,0
1,2023-04-02,POLLEU,0
1,2023-04-02,RHIMAR,0
1,2023-04-02,ZHAOWS,42
1,2023-04-03,BUECHO,0
1,2023-04-03,FEJSAK,0
1,2023-04-03,KUREIF,97
1,2023-04-03,MICKUR,6
1,2023-04-03,NIDOKI,0
1,2023-04-03,POLLEU,0
1,2023-04-03,RHIMAR,0
1,2023-04-03,ZHAOWS,6
1,2023-04-04,BUECHO,0
1,2023-04-04,FEJSAK,0
1,2023-04-04,KUREIF,72
1,2023-04-04,MICKUR,12
1,2023-04-04,NIDOKI,0
1,2023-04-04,POLLEU,0
1,2023-04-04,RHIMAR,0
1,2023-04-04,ZHAOWS,0
1,2023-04-05,BUECHO,0
1,2023-04-05,FEJSAK,0
1,2023-04-05,KUREIF,121
1,2023-04-05,MICKUR,29
1,2023-04-05,NIDOKI,0
1,2023-04-05,POLLEU,0
1,2023-04-05,RHIMAR,0
1,2023-04-05,ZHAOWS,1
1,2023-04-06,BUECHO,1
1,2023-04-06,FEJSAK,0
1,2023-04-06,KUREIF,165
1,2023-04-06,MICKUR,1
1,2023-04-06,NIDOKI,0
1,2023-04-06,POLLEU,0
1,2023-04-06,RHIMAR,0
1,2023-04-06,ZHAOWS,0
1,2023-04-07,BUECHO,0
1,2023-04-07,FEJSAK,0
1,2023-04-07,KUREIF,45
1,2023-04-07,MICKUR,16
1,2023-04-07,NIDOKI,0
1,2023-04-07,POLLEU,0
1,2023-04-07,RHIMAR,0
1,2023-04-07,ZHAOWS,53
1,2023-04-08,BUECHO,0
1,2023-04-08,FEJSAK,0
1,2023-04-08,KUREIF,0
1,2023-04-08,MICKUR,4
1,2023-04-08,NIDOKI,0
1,2023-04-08,POLLEU,0
1,2023-04-08,RHIMAR,0
1,2023-04-08,ZHAOWS,23
1,2023-04-09,BUECHO,0
1,2023-04-09,FEJSAK,0
1,2023-04-09,KUREIF,2
1,2023-04-09,MICKUR,11
1,2023-04-09,NIDOKI,0
1,2023-04-09,POLLEU,0
1,2023-04-09,RHIMAR,0
1,2023-04-09,ZHAOWS,39
1,2023-04-10,BUECHO,0
1,2023-04-10,FEJSAK,0
1,2023-04-10,KUREIF,13
1,2023-04-10,MICKUR,6
1,2023-04-10,NIDOKI,0
1,2023-04-10,POLLEU,0
1,2023-04-10,RHIMAR,0
1,2023-04-10,ZHAOWS,0
1,2023-04-11,BUECHO,0
1,2023-04-11,FEJSAK,0
1,2023-04-11,KUREIF,15
1,2023-04-11,MICKUR,25
1,2023-04-11,NIDOKI,0
1,2023-04-11,POLLEU,0
1,2023-04-11,RHIMAR,0
1,2023-04-11,ZHAOWS,4
1,2023-04-12,BUECHO,0
1,2023-04-12,FEJSAK,0
1,2023-04-12,KUREIF,11
1,2023-04-12,MICKUR,25
1,2023-04-12,NIDOKI,0
1,2023-04-12,POLLEU,0
1,2023-04-12,RHIMAR,0
1,2023-04-12,ZHAOWS,20
1,2023-04-13,BUECHO,0
1,2023-04-13,FEJSAK,1
1,2023-04-13,KUREIF,7
1,2023-04-13,MICKUR,3
1,2023-04-13,NIDOKI,0
1,2023-04-13,POLLEU,4
1,2023-04-13,RHIMAR,0
1,2023-04-13,ZHAOWS,51
1,2023-04-14,BUECHO,0
1,2023-04-14,FEJSAK,0
1,2023-04-14,KUREIF,0
1,2023-04-14,MICKUR,0
1,2023-04-14,NIDOKI,0
1,2023-04-14,POLLEU,168
1,2023-04-14,RHIMAR,0
1,2023-04-14,ZHAOWS,177
1,2023-04-15,BUECHO,7
1,2023-04-15,FEJSAK,5
1,2023-04-15,KUREIF,3
1,2023-04-15,MICKUR,264
1,2023-04-15,NIDOKI,1
1,2023-04-15,POLLEU,47
1,2023-04-15,RHIMAR,0
1,2023-04-15,ZHAOWS,141
1,2023-04-16,BUECHO,0
1,2023-04-16,FEJSAK,7
1,2023-04-16,KUREIF,0
1,2023-04-16,MICKUR,299
1,2023-04-16,NIDOKI,0
1,2023-04-16,POLLEU,0
1,2023-04-16,RHIMAR,0
1,2023-04-16,ZHAOWS,19
1,2023-04-17,BUECHO,0
1,2023-04-17,FEJSAK,0
1,2023-04-17,KUREIF,159
1,2023-04-17,MICKUR,179
1,2023-04-17,NIDOKI,0
1,2023-04-17,POLLEU,21
1,2023-04-17,RHIMAR,0
1,2023-04-17,ZHAOWS,14
1,2023-04-18,BUECHO,0
1,2023-04-18,FEJSAK,0
1,2023-04-18,KUREIF,243
1,2023-04-18,MICKUR,13
1,2023-04-18,NIDOKI,0
1,2023-04-18,POLLEU,17
1,2023-04-18,RHIMAR,0
1,2023-04-18,ZHAOWS,10
1,2023-04-19,BUECHO,0
1,2023-04-19,FEJSAK,0
1,2023-04-19,KUREIF,25
1,2023-04-19,MICKUR,7
1,2023-04-19,NIDOKI,0
1,2023-04-19,POLLEU,136
1,2023-04-19,RHIMAR,0
1,2023-04-19,ZHAOWS,17
1,2023-04-20,BUECHO,0
1,2023-04-20,FEJSAK,0
1,2023-04-20,KUREIF,11
1,2023-04-20,MICKUR,14
1,2023-04-20,NIDOKI,0
1,2023-04-20,POLLEU,165
1,2023-04-20,RHIMAR,0
1,2023-04-20,ZHAOWS,81
1,2023-04-21,BUECHO,9
1,2023-04-21,FEJSAK,0
1,2023-04-21,KUREIF,18
1,2023-04-21,MICKUR,11
1,2023-04-21,NIDOKI,0
1,2023-04-21,POLLEU,17
1,2023-04-21,RHIMAR,0
1,2023-04-21,ZHAOWS,87
1,2023-04-22,BUECHO,0
1,2023-04-22,FEJSAK,0
1,2023-04-22,KUREIF,17
1,2023-04-22,MICKUR,24
1,2023-04-22,NIDOKI,0
1,2023-04-22,POLLEU,1
1,2023-04-22,RHIMAR,0
1,2023-04-22,ZHAOWS,15
1,2023-04-23,BUECHO,0
1,2023-04-23,FEJSAK,0
1,2023-04-23,KUREIF,24
1,2023-04-23,MICKUR,10
1,2023-04-23,NIDOKI,0
1,2023-04-23,POLLEU,26
1,2023-04-23,RHIMAR,0
1,2023-04-23,ZHAOWS,7
1,2023-04-24,BUECHO,0
1,2023-04-24,FEJSAK,0
1,2023-04-24,KUREIF,42
1,2023-04-24,MICKUR,4
1,2023-04-24,NIDOKI,0
1,2023-04-24,POLLEU,61
1,2023-04-24,RHIMAR,0
1,2023-04-24,ZHAOWS,9
1,2023-04-25,BUECHO,0
1,2023-04-25,FEJSAK,0
1,2023-04-25,KUREIF,22
1,2023-04-25,MICKUR,1
1,2023-04-25,NIDOKI,0
1,2023-04-25,POLLEU,76
1,2023-04-25,RHIMAR,0
1,2023-04-25,ZHAOWS,118
1,2023-04-26,BUECHO,0
1,2023-04-26,FEJSAK,0
1,2023-04-26,KUREIF,0
1,2023-04-26,MICKUR,9
1,2023-04-26,NIDOKI,0
1,2023-04-26,POLLEU,0
1,2023-04-26,RHIMAR,0
1,2023-04-26,ZHAOWS,2
1,2023-04-27,BUECHO,0
1,2023-04-27,FEJSAK,0
1,2023-04-27,KUREIF,2
1,2023-04-27,MICKUR,33
1,2023-04-27,NIDOKI,0
1,2023-04-27,POLLEU,3
1,2023-04-27,RHIMAR,0
1,2023-04-27,ZHAOWS,23
1,2023-04-28,BUECHO,0
1,2023-04-28,FEJSAK,0
1,2023-04-28,KUREIF,12
1,2023-04-28,MICKUR,10
1,2023-04-28,NIDOKI,0
1,2023-04-28,POLLEU,174
1,2023-04-28,RHIMAR,0
1,2023-04-28,ZHAOWS,53
1,2023-04-29,BUECHO,0
1,2023-04-29,FEJSAK,2
1,2023-04-29,KUREIF,4
1,2023-04-29,MICKUR,3
1,2023-04-29,NIDOKI,0
1,2023-04-29,POLLEU,178
1,2023-04-29,RHIMAR,0
1,2023-04-29,ZHAOWS,30
1,2023-04-30,BUECHO,0
1,2023-04-30,FEJSAK,0
1,2023-04-30,KUREIF,7
1,2023-04-30,MICKUR,4
1,2023-04-30,NIDOKI,0
1,2023-04-30,POLLEU,146
1,2023-04-30,RHIMAR,0
1,2023-04-30,ZHAOWS,105
1,2023-05-01,BUECHO,0
1,2023-05-01,FEJSAK,0
1,2023-05-01,KUREIF,8
1,2023-05-01,MICKUR,16
1,2023-05-01,NIDOKI,0
1,2023-05-01,POLLEU,68
1,2023-05-01,RHIMAR,0
1,2023-05-01,ZHAOWS,78
1,2023-05-02,BUECHO,0
1,2023-05-02,FEJSAK,0
1,2023-05-02,KUREIF,2
1,2023-05-02,MICKUR,9
1,2023-05-02,NIDOKI,0
1,2023-05-02,POLLEU,45
1,2023-05-02,RHIMAR,0
1,2023-05-02,ZHAOWS,14
1,2023-05-03,BUECHO,0
1,2023-05-03,FEJSAK,0
1,2023-05-03,KUREIF,29
1,2023-05-03,MICKUR,4
1,2023-05-03,NIDOKI,0
1,2023-05-03,POLLEU,241
1,2023-05-03,RHIMAR,0
1,2023-05-03,ZHAOWS,36
1,2023-05-04,BUECHO,0
1,2023-05-04,FEJSAK,0
1,2023-05-04,KUREIF,10
1,2023-05-04,MICKUR,2
1,2023-05-04,NIDOKI,0
1,2023-05-04,POLLEU,248
1,2023-05-04,RHIMAR,0
1,2023-05-04,ZHAOWS,43
1,2023-05-05,BUECHO,0
1,2023-05-05,FEJSAK,0
1,2023-05-05,KUREIF,2
1,2023-05-05,MICKUR,5
1,2023-05-05,NIDOKI,0
1,2023-05-05,POLLEU,251
1,2023-05-05,RHIMAR,0
1,2023-05-05,ZHAOWS,24
1,2023-05-06,BUECHO,0
1,2023-05-06,FEJSAK,0
1,2023-05-06,KUREIF,15
1,2023-05-06,MICKUR,0
1,2023-05-06,NIDOKI,0
1,2023-05-06,POLLEU,265
1,2023-05-06,RHIMAR,0
1,2023-05-06,ZHAOWS,31
1,2023-05-07,BUECHO,0
1,2023-05-07,FEJSAK,18
1,2023-05-07,KUREIF,8
1,2023-05-07,MICKUR,77
1,2023-05-07,NIDOKI,0
1,2023-05-07,POLLEU,266
1,2023-05-07,RHIMAR,0
1,2023-05-07,ZHAOWS,63
1,2023-05-08,BUECHO,2
1,2023-05-08,FEJSAK,18
1,2023-05-08,KUREIF,0
1,2023-05-08,MICKUR,294
1,2023-05-08,NIDOKI,0
1,2023-05-08,POLLEU,15
1,2023-05-08,RHIMAR,0
1,2023-05-08,ZHAOWS,57
1,2023-05-09,BUECHO,0
1,2023-05-09,FEJSAK,0
1,2023-05-09,KUREIF,0
1,2023-05-09,MICKUR,300
1,2023-05-09,NIDOKI,0
1,2023-05-09,POLLEU,0
1,2023-05-09,RHIMAR,0
1,2023-05-09,ZHAOWS,0
1,2023-05-10,BUECHO,0
1,2023-05-10,FEJSAK,0
1,2023-05-10,KUREIF,133
1,2023-05-10,MICKUR,128
1,2023-05-10,NIDOKI,0
1,2023-05-10,POLLEU,7
1,2023-05-10,RHIMAR,0
1,2023-05-10,ZHAOWS,9
1,2023-05-11,BUECHO,0
1,2023-05-11,FEJSAK,0
1,2023-05-11,KUREIF,73
1,2023-05-11,MICKUR,1
1,2023-05-11,NIDOKI,0
1,2023-05-11,POLLEU,170
1,2023-05-11,RHIMAR,0
1,2023-05-11,ZHAOWS,0
1,2023-05-12,BUECHO,0
1,2023-05-12,FEJSAK,0
1,2023-05-12,KUREIF,23
1,2023-05-12,MICKUR,7
1,2023-05-12,NIDOKI,0
1,2023-05-12,POLLEU,236
1,2023-05-12,RHIMAR,0
1,2023-05-12,ZHAOWS,10
1,2023-05-13,BUECHO,0
1,2023-05-13,FEJSAK,0
1,2023-05-13,KUREIF,56
1,2023-05-13,MICKUR,4
1,2023-05-13,NIDOKI,0
1,2023-05-13,POLLEU,284
1,2023-05-13,RHIMAR,0
1,2023-05-13,ZHAOWS,89
1,2023-05-14,BUECHO,0
1,2023-05-14,FEJSAK,0
1,2023-05-14,KUREIF,18
1,2023-05-14,MICKUR,19
1,2023-05-14,NIDOKI,0
1,2023-05-14,POLLEU,183
1,2023-05-14,RHIMAR,0
1,2023-05-14,ZHAOWS,41
1,2023-05-15,BUECHO,0
1,2023-05-15,FEJSAK,0
1,2023-05-15,KUREIF,18
1,2023-05-15,MICKUR,15
1,2023-05-15,NIDOKI,0
1,2023-05-15,POLLEU,101
1,2023-05-15,RHIMAR,0
1,2023-05-15,ZHAOWS,53
1,2023-05-16,BUECHO,0
1,2023-05-16,FEJSAK,0
1,2023-05-16,KUREIF,10
1,2023-05-16,MICKUR,1
1,2023-05-16,NIDOKI,0
1,2023-05-16,POLLEU,275
1,2023-05-16,RHIMAR,0
1,2023-05-16,ZHAOWS,3
1,2023-05-17,BUECHO,0
1,2023-05-17,FEJSAK,9
1,2023-05-17,KUREIF,5
1,2023-05-17,MICKUR,9
1,2023-05-17,NIDOKI,0
1,2023-05-17,POLLEU,291
1,2023-05-17,RHIMAR,0
1,2023-05-17,ZHAOWS,119
1,2023-05-18,BUECHO,0
1,2023-05-18,FEJSAK,0
1,2023-05-18,KUREIF,183
1,2023-05-18,MICKUR,3
1,2023-05-18,NIDOKI,0
1,2023-05-18,POLLEU,300
1,2023-05-18,RHIMAR,0
1,2023-05-18,ZHAOWS,77
1,2023-05-19,BUECHO,0
1,2023-05-19,FEJSAK,0
1,2023-05-19,KUREIF,80
1,2023-05-19,MICKUR,0
1,2023-05-19,NIDOKI,0
1,2023-05-19,POLLEU,282
1,2023-05-19,RHIMAR,0
1,2023-05-19,ZHAOWS,75
1,2023-05-20,BUECHO,0
1,2023-05-20,FEJSAK,0
1,2023-05-20,KUREIF,92
1,2023-05-20,MICKUR,7
1,2023-05-20,NIDOKI,0
1,2023-05-20,POLLEU,120
1,2023-05-20,RHIMAR,0
1,2023-05-20,ZHAOWS,22
1,2023-05-21,BUECHO,0
1,2023-05-21,FEJSAK,0
1,2023-05-21,KUREIF,3
1,2023-05-21,MICKUR,3
1,2023-05-21,NIDOKI,0
1,2023-05-21,POLLEU,293
1,2023-05-21,RHIMAR,0
1,2023-05-21,ZHAOWS,7
1,2023-05-22,BUECHO,0
1,2023-05-22,FEJSAK,0
1,2023-05-22,KUREIF,0
1,2023-05-22,MICKUR,0
1,2023-05-22,NIDOKI,0
1,2023-05-22,POLLEU,300
1,2023-05-22,RHIMAR,0
1,2023-05-22,ZHAOWS,56
1,2023-05-23,BUECHO,0
1,2023-05-23,FEJSAK,0
1,2023-05-23,KUREIF,23
1,2023-05-23,MICKUR,9
1,2023-05-23,NIDOKI,0
1,2023-05-23,POLLEU,8
1,2023-05-23,RHIMAR,0
1,2023-05-23,ZHAOWS,83
1,2023-05-24,BUECHO,0
1,2023-05-24,FEJSAK,0
1,2023-05-24,KUREIF,18
1,2023-05-24,MICKUR,4
1,2023-05-24,NIDOKI,0
1,2023-05-24,POLLEU,101
1,2023-05-24,RHIMAR,0
1,2023-05-24,ZHAOWS,40
