site,date,species,num_call_segments
1,2023-03-23,BUECHO,0
1,2023-03-23,FEJSAK,0
1,2023-03-23,KUREIF,16
1,2023-03-23,MICKUR,45
1,2023-03-23,NIDOKI,0
1,2023-03-23,POLLEU,0
1,2023-03-23,RHIMAR,0
1,2023-03-23,ZHAOWS,92
1,2023-03-24,BUECHO,0
1,2023-03-24,FEJSAK,0
1,2023-03-24,KUREIF,24
1,2023-03-24,MICKUR,22
1,2023-03-24,NIDOKI,0
1,2023-03-24,POLLEU,0
1,2023-03-24,RHIMAR,0
1,2023-03-24,ZHAOWS,193
1,2023-03-25,BUECHO,0
1,2023-03-25,FEJSAK,0
1,2023-03-25,KUREIF,0
1,2023-03-25,MICKUR,17
1,2023-03-25,NIDOKI,0
1,2023-03-25,POLLEU,0
1,2023-03-25,RHIMAR,0
1,2023-03-25,ZHAOWS,47
1,2023-03-26,BUECHO,0
1,2023-03-26,FEJSAK,0
1,2023-03-26,KUREIF,0
1,2023-03-26,MICKUR,285
1,2023-03-26,NIDOKI,0
1,2023-03-26,POLLEU,0
1,2023-03-26,RHIMAR,0
1,2023-03-26,ZHAOWS,0
1,2023-03-27,BUECHO,0
1,2023-03-27,FEJSAK,1
1,2023-03-27,KUREIF,0
1,2023-03-27,MICKUR,295
1,2023-03-27,NIDOKI,0
1,2023-03-27,POLLEU,0
1,2023-03-27,RHIMAR,0
1,2023-03-27,ZHAOWS,38
1,2023-03-28,BUECHO,3
1,2023-03-28,FEJSAK,4
1,2023-03-28,KUREIF,2
1,2023-03-28,MICKUR,300
1,2023-03-28,NIDOKI,0
1,2023-03-28,POLLEU,0
1,2023-03-28,RHIMAR,0
1,2023-03-28,ZHAOWS,173
1,2023-03-29,BUECHO,0
1,2023-03-29,FEJSAK,0
1,2023-03-29,KUREIF,0
1,2023-03-29,MICKUR,25
1,2023-03-29,NIDOKI,0
1,2023-03-29,POLLEU,0
1,2023-03-29,RHIMAR,0
1,2023-03-29,ZHAOWS,185
1,2023-03-30,BUECHO,0
1,2023-03-30,FEJSAK,0
1,2023-03-30,KUREIF,0
1,2023-03-30,MICKUR,295
1,2023-03-30,NIDOKI,0
1,2023-03-30,POLLEU,0
1,2023-03-30,RHIMAR,0
1,2023-03-30,ZHAOWS,5
1,2023-03-31,BUECHO,1
1,2023-03-31,FEJSAK,0
1,2023-03-31,KUREIF,0
1,2023-03-31,MICKUR,300
1,2023-03-31,NIDOKI,0
1,2023-03-31,POLLEU,0
1,2023-03-31,RHIMAR,0
1,2023-03-31,ZHAOWS,68
1,2023-04-01,BUECHO,5
1,2023-04-01,FEJSAK,0
1,2023-04-01,KUREIF,227
1,2023-04-01,MICKUR,85
1,2023-04-01,NIDOKI,0
1,2023-04-01,POLLEU,0
1,2023-04-01,RHIMAR,0
1,2023-04-01,ZHAOWS,148
1,2023-04-02,BUECHO,0
1,2023-04-02,FEJSAK,0
1,2023-04-02,KUREIF,291
1,2023-04-02,MICKUR,41
1,2023-04-02,NIDOKI,0
1,2023-04-02,POLLEU,0
1,2023-04-02,RHIMAR,0
1,2023-04-02,ZHAOWS,42
1,2023-04-03,BUECHO,0
1,2023-04-03,FEJSAK,0
1,2023-04-03,KUREIF,101
1,2023-04-03,MICKUR,7
1,2023-04-03,NIDOKI,0
1,2023-04-03,POLLEU,0
1,2023-04-03,RHIMAR,0
1,2023-04-03,ZHAOWS,6
1,2023-04-04,BUECHO,0
1,2023-04-04,FEJSAK,0
1,2023-04-04,KUREIF,78
1,2023-04-04,MICKUR,13
1,2023-04-04,NIDOKI,0
1,2023-04-04,POLLEU,0
1,2023-04-04,RHIMAR,0
1,2023-04-04,ZHAOWS,0
1,2023-04-05,BUECHO,0
1,2023-04-05,FEJSAK,0
1,2023-04-05,KUREIF,125
1,2023-04-05,MICKUR,29
1,2023-04-05,NIDOKI,0
1,2023-04-05,POLLEU,0
1,2023-04-05,RHIMAR,0
1,2023-04-05,ZHAOWS,1
1,2023-04-06,BUECHO,2
1,2023-04-06,FEJSAK,0
1,2023-04-06,KUREIF,171
1,2023-04-06,MICKUR,3
1,2023-04-06,NIDOKI,0
1,2023-04-06,POLLEU,0
1,2023-04-06,RHIMAR,0
1,2023-04-06,ZHAOWS,0
1,2023-04-07,BUECHO,0
1,2023-04-07,FEJSAK,0
1,2023-04-07,KUREIF,49
1,2023-04-07,MICKUR,17
1,2023-04-07,NIDOKI,0
1,2023-04-07,POLLEU,0
1,2023-04-07,RHIMAR,0
1,2023-04-07,ZHAOWS,53
1,2023-04-08,BUECHO,0
1,2023-04-08,FEJSAK,0
1,2023-04-08,KUREIF,0
1,2023-04-08,MICKUR,4
1,2023-04-08,NIDOKI,0
1,2023-04-08,POLLEU,0
1,2023-04-08,RHIMAR,0
1,2023-04-08,ZHAOWS,24
1,2023-04-09,BUECHO,0
1,2023-04-09,FEJSAK,0
1,2023-04-09,KUREIF,3
1,2023-04-09,MICKUR,11
1,2023-04-09,NIDOKI,0
1,2023-04-09,POLLEU,0
1,2023-04-09,RHIMAR,0
1,2023-04-09,ZHAOWS,40
1,2023-04-10,BUECHO,0
1,2023-04-10,FEJSAK,0
1,2023-04-10,KUREIF,14
1,2023-04-10,MICKUR,8
1,2023-04-10,NIDOKI,0
1,2023-04-10,POLLEU,0
1,2023-04-10,RHIMAR,0
1,2023-04-10,ZHAOWS,0
1,2023-04-11,BUECHO,0
1,2023-04-11,FEJSAK,0
1,2023-04-11,KUREIF,18
1,2023-04-11,MICKUR,25
1,2023-04-11,NIDOKI,0
1,2023-04-11,POLLEU,0
1,2023-04-11,RHIMAR,0
1,2023-04-11,ZHAOWS,4
1,2023-04-12,BUECHO,0
1,2023-04-12,FEJSAK,0
1,2023-04-12,KUREIF,15
1,2023-04-12,MICKUR,27
1,2023-04-12,NIDOKI,0
1,2023-04-12,POLLEU,0
1,2023-04-12,RHIMAR,0
1,2023-04-12,ZHAOWS,20
1,2023-04-13,BUECHO,0
1,2023-04-13,FEJSAK,1
1,2023-04-13,KUREIF,10
1,2023-04-13,MICKUR,3
1,2023-04-13,NIDOKI,0
1,2023-04-13,POLLEU,7
1,2023-04-13,RHIMAR,0
1,2023-04-13,ZHAOWS,52
1,2023-04-14,BUECHO,0
1,2023-04-14,FEJSAK,0
1,2023-04-14,KUREIF,0
1,2023-04-14,MICKUR,0
1,2023-04-14,NIDOKI,0
1,2023-04-14,POLLEU,171
1,2023-04-14,RHIMAR,0
1,2023-04-14,ZHAOWS,179
1,2023-04-15,BUECHO,7
1,2023-04-15,FEJSAK,6
1,2023-04-15,KUREIF,3
1,2023-04-15,MICKUR,266
1,2023-04-15,NIDOKI,1
1,2023-04-15,POLLEU,54
1,2023-04-15,RHIMAR,0
1,2023-04-15,ZHAOWS,141
1,2023-04-16,BUECHO,1
1,2023-04-16,FEJSAK,9
1,2023-04-16,KUREIF,0
1,2023-04-16,MICKUR,299
1,2023-04-16,NIDOKI,0
1,2023-04-16,POLLEU,0
1,2023-04-16,RHIMAR,0
1,2023-04-16,ZHAOWS,20
1,2023-04-17,BUECHO,0
1,2023-04-17,FEJSAK,0
1,2023-04-17,KUREIF,171
1,2023-04-17,MICKUR,181
1,2023-04-17,NIDOKI,0
1,2023-04-17,POLLEU,21
1,2023-04-17,RHIMAR,0
1,2023-04-17,ZHAOWS,15
1,2023-04-18,BUECHO,0
1,2023-04-18,FEJSAK,0
1,2023-04-18,KUREIF,246
1,2023-04-18,MICKUR,13
1,2023-04-18,NIDOKI,0
1,2023-04-18,POLLEU,17
1,2023-04-18,RHIMAR,0
1,2023-04-18,ZHAOWS,10
1,2023-04-19,BUECHO,0
1,2023-04-19,FEJSAK,0
1,2023-04-19,KUREIF,36
1,2023-04-19,MICKUR,8
1,2023-04-19,NIDOKI,0
1,2023-04-19,POLLEU,138
1,2023-04-19,RHIMAR,0
1,2023-04-19,ZHAOWS,17
1,2023-04-20,BUECHO,0
1,2023-04-20,FEJSAK,0
1,2023-04-20,KUREIF,24
1,2023-04-20,MICKUR,15
1,2023-04-20,NIDOKI,0
1,2023-04-20,POLLEU,169
1,2023-04-20,RHIMAR,0
1,2023-04-20,ZHAOWS,83
1,2023-04-21,BUECHO,10
1,2023-04-21,FEJSAK,0
1,2023-04-21,KUREIF,18
1,2023-04-21,MICKUR,12
1,2023-04-21,NIDOKI,0
1,2023-04-21,POLLEU,19
1,2023-04-21,RHIMAR,0
1,2023-04-21,ZHAOWS,87
1,2023-04-22,BUECHO,0
1,2023-04-22,FEJSAK,0
1,2023-04-22,KUREIF,18
1,2023-04-22,MICKUR,24
1,2023-04-22,NIDOKI,0
1,2023-04-22,POLLEU,1
1,2023-04-22,RHIMAR,0
1,2023-04-22,ZHAOWS,15
1,2023-04-23,BUECHO,0
1,2023-04-23,FEJSAK,1
1,2023-04-23,KUREIF,27
1,2023-04-23,MICKUR,12
1,2023-04-23,NIDOKI,0
1,2023-04-23,POLLEU,27
1,2023-04-23,RHIMAR,0
1,2023-04-23,ZHAOWS,7
1,2023-04-24,BUECHO,0
1,2023-04-24,FEJSAK,0
1,2023-04-24,KUREIF,47
1,2023-04-24,MICKUR,5
1,2023-04-24,NIDOKI,0
1,2023-04-24,POLLEU,62
1,2023-04-24,RHIMAR,0
1,2023-04-24,ZHAOWS,10
1,2023-04-25,BUECHO,0
1,2023-04-25,FEJSAK,0
1,2023-04-25,KUREIF,31
1,2023-04-25,MICKUR,1
1,2023-04-25,NIDOKI,0
1,2023-04-25,POLLEU,80
1,2023-04-25,RHIMAR,0
1,2023-04-25,ZHAOWS,118
1,2023-04-26,BUECHO,0
1,2023-04-26,FEJSAK,0
1,2023-04-26,KUREIF,1
1,2023-04-26,MICKUR,9
1,2023-04-26,NIDOKI,0
1,2023-04-26,POLLEU,0
1,2023-04-26,RHIMAR,0
1,2023-04-26,ZHAOWS,3
1,2023-04-27,BUECHO,0
1,2023-04-27,FEJSAK,0
1,2023-04-27,KUREIF,2
1,2023-04-27,MICKUR,33
1,2023-04-27,NIDOKI,1
1,2023-04-27,POLLEU,4
1,2023-04-27,RHIMAR,0
1,2023-04-27,ZHAOWS,25
1,2023-04-28,BUECHO,0
1,2023-04-28,FEJSAK,0
1,2023-04-28,KUREIF,16
1,2023-04-28,MICKUR,10
1,2023-04-28,NIDOKI,0
1,2023-04-28,POLLEU,176
1,2023-04-28,RHIMAR,0
1,2023-04-28,ZHAOWS,56
1,2023-04-29,BUECHO,0
1,2023-04-29,FEJSAK,2
1,2023-04-29,KUREIF,5
1,2023-04-29,MICKUR,3
1,2023-04-29,NIDOKI,0
1,2023-04-29,POLLEU,183
1,2023-04-29,RHIMAR,0
1,2023-04-29,ZHAOWS,30
1,2023-04-30,BUECHO,0
1,2023-04-30,FEJSAK,0
1,2023-04-30,KUREIF,7
1,2023-04-30,MICKUR,4
1,2023-04-30,NIDOKI,0
1,2023-04-30,POLLEU,152
1,2023-04-30,RHIMAR,0
1,2023-04-30,ZHAOWS,106
1,2023-05-01,BUECHO,0
1,2023-05-01,FEJSAK,0
1,2023-05-01,KUREIF,10
1,2023-05-01,MICKUR,18
1,2023-05-01,NIDOKI,0
1,2023-05-01,POLLEU,74
1,2023-05-01,RHIMAR,0
1,2023-05-01,ZHAOWS,78
1,2023-05-02,BUECHO,0
1,2023-05-02,FEJSAK,0
1,2023-05-02,KUREIF,2
1,2023-05-02,MICKUR,11
1,2023-05-02,NIDOKI,0
1,2023-05-02,POLLEU,49
1,2023-05-02,RHIMAR,0
1,2023-05-02,ZHAOWS,15
1,2023-05-03,BUECHO,0
1,2023-05-03,FEJSAK,0
1,2023-05-03,KUREIF,33
1,2023-05-03,MICKUR,4
1,2023-05-03,NIDOKI,0
1,2023-05-03,POLLEU,246
1,2023-05-03,RHIMAR,0
1,2023-05-03,ZHAOWS,37
1,2023-05-04,BUECHO,0
1,2023-05-04,FEJSAK,0
1,2023-05-04,KUREIF,15
1,2023-05-04,MICKUR,2
1,2023-05-04,NIDOKI,0
1,2023-05-04,POLLEU,248
1,2023-05-04,RHIMAR,0
1,2023-05-04,ZHAOWS,44
1,2023-05-05,BUECHO,0
1,2023-05-05,FEJSAK,0
1,2023-05-05,KUREIF,4
1,2023-05-05,MICKUR,5
1,2023-05-05,NIDOKI,0
1,2023-05-05,POLLEU,254
1,2023-05-05,RHIMAR,0
1,2023-05-05,ZHAOWS,27
1,2023-05-06,BUECHO,0
1,2023-05-06,FEJSAK,0
1,2023-05-06,KUREIF,17
1,2023-05-06,MICKUR,0
1,2023-05-06,NIDOKI,0
1,2023-05-06,POLLEU,265
1,2023-05-06,RHIMAR,0
1,2023-05-06,ZHAOWS,32
1,2023-05-07,BUECHO,0
1,2023-05-07,FEJSAK,18
1,2023-05-07,KUREIF,9
1,2023-05-07,MICKUR,78
1,2023-05-07,NIDOKI,0
1,2023-05-07,POLLEU,269
1,2023-05-07,RHIMAR,0
1,2023-05-07,ZHAOWS,67
1,2023-05-08,BUECHO,2
1,2023-05-08,FEJSAK,20
1,2023-05-08,KUREIF,0
1,2023-05-08,MICKUR,295
1,2023-05-08,NIDOKI,0
1,2023-05-08,POLLEU,16
1,2023-05-08,RHIMAR,0
1,2023-05-08,ZHAOWS,60
1,2023-05-09,BUECHO,0
1,2023-05-09,FEJSAK,0
1,2023-05-09,KUREIF,0
1,2023-05-09,MICKUR,300
1,2023-05-09,NIDOKI,0
1,2023-05-09,POLLEU,0
1,2023-05-09,RHIMAR,0
1,2023-05-09,ZHAOWS,1
1,2023-05-10,BUECHO,0
1,2023-05-10,FEJSAK,0
1,2023-05-10,KUREIF,144
1,2023-05-10,MICKUR,131
1,2023-05-10,NIDOKI,0
1,2023-05-10,POLLEU,7
1,2023-05-10,RHIMAR,0
1,2023-05-10,ZHAOWS,9
1,2023-05-11,BUECHO,0
1,2023-05-11,FEJSAK,0
1,2023-05-11,KUREIF,79
1,2023-05-11,MICKUR,2
1,2023-05-11,NIDOKI,0
1,2023-05-11,POLLEU,173
1,2023-05-11,RHIMAR,0
1,2023-05-11,ZHAOWS,0
1,2023-05-12,BUECHO,0
1,2023-05-12,FEJSAK,0
1,2023-05-12,KUREIF,28
1,2023-05-12,MICKUR,7
1,2023-05-12,NIDOKI,0
1,2023-05-12,POLLEU,238
1,2023-05-12,RHIMAR,0
1,2023-05-12,ZHAOWS,10
1,2023-05-13,BUECHO,0
1,2023-05-13,FEJSAK,0
1,2023-05-13,KUREIF,69
1,2023-05-13,MICKUR,4
1,2023-05-13,NIDOKI,0
1,2023-05-13,POLLEU,286
1,2023-05-13,RHIMAR,0
1,2023-05-13,ZHAOWS,91
1,2023-05-14,BUECHO,0
1,2023-05-14,FEJSAK,0
1,2023-05-14,KUREIF,27
1,2023-05-14,MICKUR,21
1,2023-05-14,NIDOKI,0
1,2023-05-14,POLLEU,185
1,2023-05-14,RHIMAR,0
1,2023-05-14,ZHAOWS,42
1,2023-05-15,BUECHO,0
1,2023-05-15,FEJSAK,0
1,2023-05-15,KUREIF,30
1,2023-05-15,MICKUR,15
1,2023-05-15,NIDOKI,0
1,2023-05-15,POLLEU,105
1,2023-05-15,RHIMAR,0
1,2023-05-15,ZHAOWS,53
1,2023-05-16,BUECHO,0
1,2023-05-16,FEJSAK,0
1,2023-05-16,KUREIF,13
1,2023-05-16,MICKUR,1
1,2023-05-16,NIDOKI,0
1,2023-05-16,POLLEU,276
1,2023-05-16,RHIMAR,0
1,2023-05-16,ZHAOWS,3
1,2023-05-17,BUECHO,0
1,2023-05-17,FEJSAK,9
1,2023-05-17,KUREIF,7
1,2023-05-17,MICKUR,9
1,2023-05-17,NIDOKI,0
1,2023-05-17,POLLEU,293
1,2023-05-17,RHIMAR,0
1,2023-05-17,ZHAOWS,120
1,2023-05-18,BUECHO,0
1,2023-05-18,FEJSAK,0
1,2023-05-18,KUREIF,199
1,2023-05-18,MICKUR,3
1,2023-05-18,NIDOKI,0
1,2023-05-18,POLLEU,300
1,2023-05-18,RHIMAR,0
1,2023-05-18,ZHAOWS,79
1,2023-05-19,BUECHO,0
1,2023-05-19,FEJSAK,0
1,2023-05-19,KUREIF,87
1,2023-05-19,MICKUR,0
1,2023-05-19,NIDOKI,0
1,2023-05-19,POLLEU,283
1,2023-05-19,RHIMAR,0
1,2023-05-19,ZHAOWS,78
1,2023-05-20,BUECHO,0
1,2023-05-20,FEJSAK,0
1,2023-05-20,KUREIF,102
1,2023-05-20,MICKUR,8
1,2023-05-20,NIDOKI,0
1,2023-05-20,POLLEU,124
1,2023-05-20,RHIMAR,0
1,2023-05-20,ZHAOWS,22
1,2023-05-21,BUECHO,0
1,2023-05-21,FEJSAK,0
1,2023-05-21,KUREIF,6
1,2023-05-21,MICKUR,4
1,2023-05-21,NIDOKI,0
1,2023-05-21,POLLEU,293
1,2023-05-21,RHIMAR,0
1,2023-05-21,ZHAOWS,8
1,2023-05-22,BUECHO,0
1,2023-05-22,FEJSAK,0
1,2023-05-22,KUREIF,2
1,2023-05-22,MICKUR,0
1,2023-05-22,NIDOKI,0
1,2023-05-22,POLLEU,300
1,2023-05-22,RHIMAR,0
1,2023-05-22,ZHAOWS,57
1,2023-05-23,BUECHO,0
1,2023-05-23,FEJSAK,0
1,2023-05-23,KUREIF,25
1,2023-05-23,MICKUR,10
1,2023-05-23,NIDOKI,0
1,2023-05-23,POLLEU,9
1,2023-05-23,RHIMAR,0
1,2023-05-23,ZHAOWS,84
1,2023-05-24,BUECHO,0
1,2023-05-24,FEJSAK,0
1,2023-05-24,KUREIF,30
1,2023-05-24,MICKUR,5
1,2023-05-24,NIDOKI,0
1,2023-05-24,POLLEU,105
1,2023-05-24,RHIMAR,0
1,2023-05-24,ZHAOWS,42
